accession	total-reads	card-cannonical	card-variants	denominator	percentage-cannonical	percentage-variants
SRR8902844	2048119	48523	87330	135853	36	64
SRR8902845	2045206	26966	51405	78371	34	66
SRR8902846	2315390	23966	44463	68429	35	65
SRR8902847	4871813	64482	101266	165748	39	61
SRR8902848	2274634	25240	44262	69502	36	64
SRR8902849	2760284	35551	54192	89743	40	60
SRR8902850	2682947	35050	46565	81615	43	57
SRR8902851	1450120	19100	24565	43665	44	56
SRR8902852	1870252	24906	38741	63647	39	61
SRR8902853	2221237	27903	37674	65577	43	57
SRR8902854	2025492	27720	36032	63752	43	57
SRR8902855	2662639	39345	66546	105891	37	63
SRR8902856	4720895	55237	119101	174338	32	68
SRR8902857	3585130	51072	75912	126984	40	60
SRR8902858	2742272	34945	48039	82984	42	58
SRR8902859	2955414	38543	51023	89566	43	57
SRR8902860	3141993	38253	48581	86834	44	56
SRR8980893	176966	135661	132705	268366	51	49
SRR8980894	99656	77633	76101	153734	50	50
SRR8980895	203134	155445	152167	307612	51	49
SRR8980896	272216	200579	196846	397425	50	50
SRR8980897	219622	164806	161472	326278	51	49
SRR8980898	250034	186658	183733	370391	50	50
SRR8980899	455554	354327	345946	700273	51	49
SRR8980900	241478	191865	189862	381727	50	50
SRR8980901	140583	110190	109122	219312	50	50
SRR8980902	302956	272064	276243	548307	50	50
SRR8980903	141928	114721	120486	235207	49	51
SRR8980904	286246	203507	203482	406989	50	50
SRR8980905	151614	99825	98838	198663	50	50
SRR8980906	197106	156544	153687	310231	50	50
SRR8980907	130236	101539	99261	200800	51	49
SRR8980908	228070	173208	169483	342691	51	49
SRR8980909	157522	117576	115442	233018	50	50